,n,Mean,SD,Statistic,p-value,Reject NH
0,1,3.552713678800501e-18,0.9999999999999999,0.039,0.43260886958153144,No
1,2,1.865174681370263e-16,1.0,0.032,0.6854967337920594,No
2,3,-3.9879211044535624e-16,1.0,0.033,0.647814872077161,No
3,4,3.108624468950438e-16,1.0,0.034,0.6101664688189142,No
4,5,-9.592326932761352e-17,1.0,0.036,0.5362766985932181,No
5,6,1.7319479184152443e-16,1.0,0.041,0.37012017606173,No
6,7,4.3165471197426085e-16,1.0,0.031,0.7228251828701066,No
7,8,-1.8118839761882554e-16,1.0,0.045,0.26347172719864703,No
8,9,-1.2789769243681803e-15,1.0,0.038,0.4659595288557257,No
9,10,-7.212008767965017e-16,1.0,0.041,0.37012017606173,No
10,11,6.856737400084967e-16,1.0,0.039,0.43260886958153144,No
11,12,-9.166001291305293e-16,1.0,0.035,0.5728904395829821,No
12,13,3.7214675785435246e-16,0.9999999999999999,0.04,0.4006338815832625,No
13,14,9.592326932761353e-16,1.0,0.038,0.4659595288557257,No
14,15,8.633094239485217e-16,0.9999999999999999,0.036,0.5362766985932181,No
15,16,1.6058265828178265e-15,0.9999999999999999,0.04,0.4006338815832625,No
16,17,-5.027089855502708e-16,1.0,0.032,0.6854967337920594,No
17,18,9.00612917575927e-16,1.0,0.035,0.5728904395829821,No
18,19,-6.687983500341943e-16,0.9999999999999998,0.042,0.34112475112661245,No
19,20,-4.334310688136611e-16,1.0,0.038,0.4659595288557257,No
20,21,-9.627854069549358e-16,1.0,0.04,0.4006338815832625,No
21,22,-1.900701818158268e-16,1.0,0.04,0.4006338815832625,No
22,23,-1.2745360322696796e-16,1.0,0.034,0.6101664688189142,No
23,24,-2.5508484213787596e-15,1.0,0.035,0.5728904395829821,No
24,25,-1.0516032489249482e-15,1.0,0.04,0.4006338815832625,No
25,26,2.717825964282383e-16,0.9999999999999999,0.033,0.647814872077161,No
26,27,-1.5791812302268227e-15,0.9999999999999999,0.045,0.26347172719864703,No
27,28,1.4210854715202004e-16,1.0,0.04,0.4006338815832625,No
28,29,-7.442935157087049e-16,1.0,0.05,0.16411447756429137,No
29,30,1.8687273950490636e-15,0.9999999999999999,0.036,0.5362766985932181,No
30,31,-8.366640713575179e-16,1.0,0.038,0.4659595288557257,No
31,32,-5.933031843596837e-16,1.0,0.038,0.4659595288557257,No
32,33,1.4708234630234073e-15,0.9999999999999999,0.038,0.4659595288557257,No
33,34,8.171241461241152e-17,1.0,0.044,0.28779764348473313,No
34,35,-5.915268275202834e-16,1.0,0.033,0.647814872077161,No
35,36,-1.7976731214730535e-15,1.0,0.039,0.43260886958153144,No
36,37,1.1084466677857563e-15,1.0,0.04,0.4006338815832625,No
37,38,-1.1723955140041654e-16,1.0,0.039,0.43260886958153144,No
38,39,-6.927791673660977e-16,0.9999999999999999,0.037,0.5005673707894058,No
39,40,-2.8173019472887974e-15,1.0000000000000002,0.037,0.5005673707894058,No
40,41,-9.592326932761352e-17,0.9999999999999999,0.036,0.5362766985932181,No
41,42,6.0218496855668495e-16,1.0,0.034,0.6101664688189142,No
42,43,-2.913225216616411e-16,1.0,0.039,0.43260886958153144,No
43,44,-1.4210854715202004e-16,1.0,0.041,0.37012017606173,No
44,45,1.3020695632803836e-15,0.9999999999999999,0.038,0.4659595288557257,No
45,46,1.7852386235972518e-16,0.9999999999999999,0.052,0.13385273551786803,No
46,47,2.4846791291111002e-15,0.9999999999999999,0.03,0.7593695685682871,No
47,48,1.4210854715202004e-16,0.9999999999999999,0.045,0.26347172719864703,No
48,49,-2.646771690706373e-16,1.0,0.039,0.43260886958153144,No
49,50,-1.2887468869848818e-15,1.0,0.042,0.34112475112661245,No
